,name,width,height,class,xmin,ymin,xmax,ymax
0,--7fWq6WjZM8L1eUSuvOEA,[4160],[3120],['other'],[1480.78125],[1327.67578125],[1576.25],[1421.3671875]
1,-0G6gt8ksR0hO5jMKrTDMw,[4032],[3024],['no-entry'],[1776.796875],[1932.8203125],[1800.421875],[1956.4453125]
2,-0oqTZyDwf6SJlJXaHSTVg,[3840],[2160],['no-entry'],[1267.5],[890.68359375],[1305.0],[951.85546875]
3,-1CbHBwZ5qEz-uT8-RC3tw,[4128],[3096],['no-stopping-no-parking'],[1161.0],[1742.255859375],[1202.3203125],[1780.8046875]
4,-1dYvHaY52PTrihdjPDPQg,"[5248, 5248]","[3936, 3936]","['no-stopping-no-parking', 'no-stopping-no-parking']","[2217.84375, 5009.6875]","[2313.9375, 1851.7265625]","[2403.625, 5246.71875]","[2546.484375, 2191.8984375]"
5,-21_2ziCd0eFiepxxbF6jw,[3264],[2448],['speed-limit'],[247.03125],[1042.3125],[287.671875],[1079.3671875]
6,-3vUvRIrj_BvNn9mBS9gHg,[4096],[3072],['no-entry'],[2878.0],[1934.25],[2900.0],[1986.75]
7,-4JmB_89NpVL45NYCFuVJg,[4608],[3456],['other'],[2128.5],[1978.59375],[2153.25],[2004.75]
8,-4Kw4AJqOzZG8q5le7bGlQ,[3264],[2448],['speed-limit'],[2004.9375],[1230.57421875],[2077.453125],[1304.68359375]
9,-4oC5IYfYO0_PP9151ALqg,[2048],[1536],['speed-limit'],[1444.0],[877.125],[1464.0],[895.875]
10,-5ihylTtxA3-CGKOhyhDmQ,"[5312, 5312]","[2988, 2988]","['speed-limit', 'speed-limit']","[3355.015625, 2892.03125]","[1208.0390625, 1167.1875]","[3413.375, 2949.09375]","[1267.1279296875, 1226.2763671875]"
11,-5nDzLhB4nT9VNVzpLgEOw,[2048],[1232],['other'],[621.0],[562.16015625],[671.0],[611.7890625]
12,-64a-Nxf8KSE2xM9EF90zg,[1280],[720],['speed-limit'],[680.3125],[392.16796875],[694.375],[406.40625]
13,-6ELIXBsbAjcFUarWGRaow,[4032],[3024],['speed-limit'],[1418.484375],[2085.64453125],[1482.46875],[2142.4921875]
14,-6ZUAKHcnb1x1wsKR3pk5w,[4160],[3120],['speed-limit'],[2783.828125],[1349.765625],[2904.6875],[1519.62890625]
15,-7Bt1OY6lXDFhVWl0qexRg,[3200],[2400],['speed-limit'],[1165.625],[400.78125],[1374.21875],[612.890625]
16,-7DRi7Kw86EWW9qtV76a9Q,[4032],[3024],['no-entry'],[1268.859375],[2028.796875],[1290.515625],[2050.20703125]
17,-7UY6VoU92Vw2K170kXwSw,[5312],[2988],['no-entry'],[3860.796875],[1911.9990234375],[3913.96875],[1978.3828125]
18,-7njPpiHROkOjrBeSzNiow,"[4128, 4128]","[3096, 3096]","['no-right-left-or-u-turn', 'speed-limit']","[2044.8515625, 678.2578125]","[1863.94921875, 1570.67578125]","[2071.0546875, 796.171875]","[1891.16015625, 1678.763671875]"
19,-82y-KcR6EtdxdkOv5zzuA,[4032],[3024],['speed-limit'],[1877.203125],[1561.46484375],[1912.640625],[1591.734375]
20,-90LVyAGTR2pzUEmy8NY5w,[3264],[1836],['no-right-left-or-u-turn'],[1157.0625],[586.30078125],[1264.640625],[699.7060546875]
21,-9NjstZA2UgoVF2AE0uuQg,[4032],[3024],['speed-limit'],[2963.953125],[1848.65625],[3102.75],[1988.19140625]
22,-9s41VI1tVoMhjTwKUMbnw,[3264],[2448],['speed-limit'],[1069.40625],[1999.16015625],[1110.046875],[2039.203125]
23,-AUuWD_lvWvxTjoDe545xg,[1920],[1080],['speed-limit'],[1606.875],[545.2734375],[1630.3125],[577.177734375]
24,-AcmoBAQMsDGwzmG9tzAJw,[3264],[2448],['speed-limit'],[2786.671875],[412.3828125],[2849.625],[465.57421875]
25,-B0k5-dkhan6sBOvgi-o6A,"[4032, 4032]","[3024, 3024]","['no-stopping-no-parking', 'speed-limit']","[1134.984375, 3929.625]","[1273.53515625, 1444.81640625]","[1339.734375, 3999.515625]","[1575.4921875, 1507.5703125]"
26,-BlWD5yiCO2Yi9BLQsRkkg,"[1920, 1920]","[1080, 1080]","['no-entry', 'no-right-left-or-u-turn']","[170.625, 550.78125]","[723.515625, 770.185546875]","[205.3125, 577.96875]","[784.423828125, 799.453125]"
27,-BygkkVj5oNMgS1viuEvpQ,"[4032, 4032]","[3024, 3024]","['no-right-left-or-u-turn', 'no-right-left-or-u-turn']","[2391.046875, 1312.171875]","[1545.22265625, 1610.19140625]","[2457.984375, 1374.1875]","[1611.66796875, 1669.25390625]"
28,-Cc-M6XGO-jIka91DUZZUA,"[4032, 4032, 4032]","[3024, 3024, 3024]","['speed-limit', 'speed-limit', 'speed-limit']","[1942.171875, 1787.625, 1864.40625]","[1046.8828125, 1057.21875, 1052.7890625]","[2013.046875, 1855.546875, 1933.3125]","[1118.49609375, 1125.87890625, 1125.140625]"
29,-DKcxCLAzqQ5yCdj-HkkPw,"[4160, 4160]","[3120, 3120]","['other', 'other']","[1932.734375, 1416.796875]","[1486.11328125, 879.0234375]","[1969.296875, 1563.046875]","[1523.4375, 1033.65234375]"
30,-E0pRusIqLhaIkjlZQGXNg,"[4160, 4160]","[3120, 3120]","['speed-limit', 'other']","[1206.5625, 1202.5]","[1627.03125, 1470.1171875]","[1311.171875, 1314.21875]","[1778.61328125, 1611.03515625]"
31,-ERU5nErUqQn3JZ6sSGofA,[5312],[2988],['speed-limit'],[2084.078125],[1121.2294921875],[2142.4375],[1184.6953125]
32,-FVezPAoTCWLJri7RybKaw,"[3840, 3840]","[2160, 2160]","['other', 'other']","[3041.25, 3028.125]","[1316.25, 1411.69921875]","[3108.75, 3093.75]","[1408.53515625, 1499.765625]"
33,-Gcl9blTgnaiNhpFyBYdJA,[2592],[1944],['no-entry'],[127.1953125],[908.40234375],[175.2890625],[965.830078125]
34,-GxYFOCn-Xfnljtk30lpIA,[3984],[2988],['no-entry'],[452.28515625],[1529.7451171875],[463.95703125],[1581.5390625]
35,-HFT-WGo9ftuyGUUm-4zGQ,[4128],[3096],['no-entry'],[1837.2421875],[1848.83203125],[1853.3671875],[1866.97265625]
36,-HxiZJdhRazJDPQ_KpyEdQ,"[4032, 4032, 4032]","[3024, 3024, 3024]","['no-stopping-no-parking', 'no-stopping-no-parking', 'no-stopping-no-parking']","[1909.6875, 2670.609375, 3718.96875]","[1999.265625, 1034.33203125, 1697.30859375]","[1941.1875, 2837.953125, 3736.6875]","[2031.01171875, 1198.23046875, 1717.98046875]"
37,-IB3xu-xSE6GHfkM7oG1pQ,"[3264, 3264]","[2448, 2448]","['speed-limit', 'speed-limit']","[1833.609375, 1485.375]","[1674.6328125, 1683.59765625]","[1855.921875, 1507.6875]","[1696.74609375, 1706.90625]"
38,-IWgL4VctdaKvIuZ7Cys0w,[4352],[3264],['speed-limit'],[1378.0625],[1309.265625],[1521.5],[1443.9375]
39,-IcyhR2u8DJ4qoqXWNrZ1g,"[4032, 4032]","[3024, 3024]","['no-stopping-no-parking', 'no-stopping-no-parking']","[1422.421875, 3132.28125]","[1333.3359375, 1173.8671875]","[1492.3125, 3264.1875]","[1417.5, 1302.328125]"
40,-K0VdlQhaTTesOHVB_1Lzw,[5660],[2830],['other'],[229.384765625],[1453.69140625],[266.6943359375],[1491.0009765625]
41,-KsJhQA4RkIB3FPp_IStgw,"[4032, 4032, 4032]","[3024, 3024, 3024]","['speed-limit', 'speed-limit', 'speed-limit']","[1821.09375, 1207.828125, 1908.703125]","[1917.31640625, 2056.11328125, 1963.828125]","[1897.875, 1228.5, 1991.390625]","[1997.05078125, 2087.12109375, 2046.515625]"
42,-LQAjPpM4ZlWbR_GiEo-5Q,[4000],[3000],['no-right-left-or-u-turn'],[2572.265625],[1636.962890625],[2602.5390625],[1668.45703125]
43,-LQXWLyVw_nMfog6Sya92w,[2560],[1440],['speed-limit'],[1917.5],[774.140625],[2000.0],[852.1875]
44,-Lnqtnmhg5a0Geqyn4m_gQ,[4208],[3120],['speed-limit'],[1101.3125],[1643.02734375],[1187.609375],[1726.81640625]
45,-MGHrk6ifhEZhWCjotCb4A,[3840],[2160],['speed-limit'],[969.375],[1115.33203125],[1012.5],[1156.46484375]
46,-MlU-jgd1aUWgzCSIEi1Yg,"[3264, 3264, 3264]","[2448, 2448, 2448]","['speed-limit', 'no-entry', 'no-entry']","[1808.90625, 313.96875, 1058.25]","[1225.79296875, 1258.6640625, 1281.97265625]","[1844.765625, 447.046875, 1113.234375]","[1262.84765625, 1461.8671875, 1408.67578125]"
47,-NDdpaJqS5GOM-CBrnwifg,"[4128, 4128]","[3096, 3096]","['no-right-left-or-u-turn', 'no-entry']","[1872.515625, 1164.0234375]","[2383.224609375, 2493.580078125]","[1915.8515625, 1200.3046875]","[2432.35546875, 2537.419921875]"
48,-NRs2TX8kBnmjWDeqs7o_A,[2560],[1536],['other'],[2321.875],[438.375],[2377.5],[504.375]
49,-NaZlwuVvELCGEN3IOa08Q,[2560],[1920],['speed-limit'],[1551.875],[720.46875],[1632.5],[808.125]
50,-Nhm4jgJU6RRgYrQVYFebQ,[4032],[3024],['speed-limit'],[2238.46875],[1486.16015625],[2262.09375],[1509.78515625]
51,-P1z3gM5DlaNUCdPEjgQ8w,[1920],[1080],['no-right-left-or-u-turn'],[742.03125],[465.64453125],[787.03125],[510.205078125]
52,-PG83VlQAKdsDJ_f9hmaAQ,"[5952, 5952]","[3348, 3348]","['no-stopping-no-parking', 'no-stopping-no-parking']","[3744.703125, 3741.796875]","[1605.33984375, 1656.8349609375]","[3789.75, 3791.203125]","[1658.4697265625, 1707.5126953125]"
