,name,width,height,class,xmin,ymin,xmax,ymax
0,--7fWq6WjZM8L1eUSuvOEA,[4160],[3120],['other'],[1480.78125],[1327.67578125],[1576.25],[1421.3671875]
1,--7fWq6WjZM8L1eUSuvOEA_1475_aug,[4160],[3120],['other'],[1334.4553],[1302.4825],[1427.845],[1382.0487]
2,--7fWq6WjZM8L1eUSuvOEA_177_aug,[4160],[3120],['other'],[2215.9211],[1044.2795],[2330.0889],[1149.7699]
3,-0G6gt8ksR0hO5jMKrTDMw,[4032],[3024],['no-entry'],[1776.796875],[1932.8203125],[1800.421875],[1956.4453125]
4,-0oqTZyDwf6SJlJXaHSTVg,[3840],[2160],['no-entry'],[1267.5],[890.68359375],[1305.0],[951.85546875]
5,-0oqTZyDwf6SJlJXaHSTVg_1629_aug,[3840],[2160],['no-entry'],[2139.9058],[1223.2003],[2177.4243],[1287.4585]
6,-0oqTZyDwf6SJlJXaHSTVg_188_aug,[3840],[2160],['no-entry'],[2296.827],[1140.9955],[2335.2373],[1206.1879]
7,-0oqTZyDwf6SJlJXaHSTVg_3070_aug,[3840],[2160],['no-entry'],[1914.1493],[701.4032],[1965.5436],[756.0759]
8,-1CbHBwZ5qEz-uT8-RC3tw,[4128],[3096],['no-stopping-no-parking'],[1161.0],[1742.255859375],[1202.3203125],[1780.8046875]
9,-1dYvHaY52PTrihdjPDPQg,"[5248, 5248]","[3936, 3936]","['no-stopping-no-parking', 'no-stopping-no-parking']","[2217.84375, 5009.6875]","[2313.9375, 1851.7265625]","[2403.625, 5246.71875]","[2546.484375, 2191.8984375]"
10,-1dYvHaY52PTrihdjPDPQg_1943_aug,[5248],[3936],['no-stopping-no-parking'],[3132.4558],[2691.229],[3340.5017],[2925.8662]
11,-1dYvHaY52PTrihdjPDPQg_220_aug,[5248],[3936],['no-stopping-no-parking'],[1543.4232],[3004.9534],[1738.1609],[3286.437]
12,-1dYvHaY52PTrihdjPDPQg_221_aug,[5248],[3936],['no-stopping-no-parking'],[448.01382],[2102.2356],[724.4729],[2466.2834]
13,-1dYvHaY52PTrihdjPDPQg_3666_aug,[5248],[3936],['no-stopping-no-parking'],[2489.4536],[1524.1542],[2715.3982],[1734.1226]
14,-1dYvHaY52PTrihdjPDPQg_3667_aug,[5248],[3936],['no-stopping-no-parking'],[5296.4688],[1405.1182],[5505.9126],[1794.819]
15,-21_2ziCd0eFiepxxbF6jw,[3264],[2448],['speed-limit'],[247.03125],[1042.3125],[287.671875],[1079.3671875]
16,-3vUvRIrj_BvNn9mBS9gHg,[4096],[3072],['no-entry'],[2878.0],[1934.25],[2900.0],[1986.75]
17,-3vUvRIrj_BvNn9mBS9gHg_3071_aug,[4096],[3072],['no-entry'],[2031.1019],[1746.8405],[2055.0754],[1800.9675]
18,-4JmB_89NpVL45NYCFuVJg,[4608],[3456],['other'],[2128.5],[1978.59375],[2153.25],[2004.75]
19,-4Kw4AJqOzZG8q5le7bGlQ,[3264],[2448],['speed-limit'],[2004.9375],[1230.57421875],[2077.453125],[1304.68359375]
20,-4oC5IYfYO0_PP9151ALqg,[2048],[1536],['speed-limit'],[1444.0],[877.125],[1464.0],[895.875]
21,-5ihylTtxA3-CGKOhyhDmQ,"[5312, 5312]","[2988, 2988]","['speed-limit', 'speed-limit']","[3355.015625, 2892.03125]","[1208.0390625, 1167.1875]","[3413.375, 2949.09375]","[1267.1279296875, 1226.2763671875]"
22,-5nDzLhB4nT9VNVzpLgEOw,[2048],[1232],['other'],[621.0],[562.16015625],[671.0],[611.7890625]
23,-64a-Nxf8KSE2xM9EF90zg,[1280],[720],['speed-limit'],[680.3125],[392.16796875],[694.375],[406.40625]
24,-6ELIXBsbAjcFUarWGRaow,[4032],[3024],['speed-limit'],[1418.484375],[2085.64453125],[1482.46875],[2142.4921875]
25,-6ZUAKHcnb1x1wsKR3pk5w,[4160],[3120],['speed-limit'],[2783.828125],[1349.765625],[2904.6875],[1519.62890625]
26,-7Bt1OY6lXDFhVWl0qexRg,[3200],[2400],['speed-limit'],[1165.625],[400.78125],[1374.21875],[612.890625]
27,-7DRi7Kw86EWW9qtV76a9Q,[4032],[3024],['no-entry'],[1268.859375],[2028.796875],[1290.515625],[2050.20703125]
28,-7UY6VoU92Vw2K170kXwSw,[5312],[2988],['no-entry'],[3860.796875],[1911.9990234375],[3913.96875],[1978.3828125]
29,-7UY6VoU92Vw2K170kXwSw_3072_aug,[5312],[2988],['no-entry'],[1227.5801],[1574.973],[1298.7126],[1636.7462]
30,-7njPpiHROkOjrBeSzNiow,"[4128, 4128]","[3096, 3096]","['no-right-left-or-u-turn', 'speed-limit']","[2044.8515625, 678.2578125]","[1863.94921875, 1570.67578125]","[2071.0546875, 796.171875]","[1891.16015625, 1678.763671875]"
31,-7njPpiHROkOjrBeSzNiow_1316_aug,[4128],[3096],['no-right-left-or-u-turn'],[2116.7097],[1627.0182],[2146.2122],[1662.6179]
32,-7njPpiHROkOjrBeSzNiow_149_aug,[4128],[3096],['no-right-left-or-u-turn'],[2163.2395],[1495.3469],[2195.046],[1531.1443]
33,-7njPpiHROkOjrBeSzNiow_2483_aug,[4128],[3096],['no-right-left-or-u-turn'],[2832.1016],[1828.4788],[2862.7722],[1858.6687]
34,-7njPpiHROkOjrBeSzNiow_3650_aug,[4128],[3096],['no-right-left-or-u-turn'],[1161.0167],[2363.314],[1189.1582],[2394.6743]
35,-82y-KcR6EtdxdkOv5zzuA,[4032],[3024],['speed-limit'],[1877.203125],[1561.46484375],[1912.640625],[1591.734375]
36,-90LVyAGTR2pzUEmy8NY5w,[3264],[1836],['no-right-left-or-u-turn'],[1157.0625],[586.30078125],[1264.640625],[699.7060546875]
37,-90LVyAGTR2pzUEmy8NY5w_0_aug,[3264],[1836],['no-right-left-or-u-turn'],[697.253],[413.0561],[819.7667],[518.50714]
38,-90LVyAGTR2pzUEmy8NY5w_2334_aug,[3264],[1836],['no-right-left-or-u-turn'],[1864.6624],[567.9297],[1993.6173],[684.58307]
39,-90LVyAGTR2pzUEmy8NY5w_3501_aug,[3264],[1836],['no-right-left-or-u-turn'],[1735.9509],[442.6029],[1848.9656],[578.6944]
40,-9NjstZA2UgoVF2AE0uuQg,[4032],[3024],['speed-limit'],[2963.953125],[1848.65625],[3102.75],[1988.19140625]
41,-9s41VI1tVoMhjTwKUMbnw,[3264],[2448],['speed-limit'],[1069.40625],[1999.16015625],[1110.046875],[2039.203125]
42,-AUuWD_lvWvxTjoDe545xg,[1920],[1080],['speed-limit'],[1606.875],[545.2734375],[1630.3125],[577.177734375]
43,-AcmoBAQMsDGwzmG9tzAJw,[3264],[2448],['speed-limit'],[2786.671875],[412.3828125],[2849.625],[465.57421875]
44,-B0k5-dkhan6sBOvgi-o6A,"[4032, 4032]","[3024, 3024]","['no-stopping-no-parking', 'speed-limit']","[1134.984375, 3929.625]","[1273.53515625, 1444.81640625]","[1339.734375, 3999.515625]","[1575.4921875, 1507.5703125]"
45,-B0k5-dkhan6sBOvgi-o6A_1945_aug,[4032],[3024],['no-stopping-no-parking'],[2018.8588],[1111.0779],[2295.1519],[1492.7804]
46,-B0k5-dkhan6sBOvgi-o6A_222_aug,[4032],[3024],['no-stopping-no-parking'],[1808.7589],[1493.9395],[2049.5117],[1818.154]
47,-B0k5-dkhan6sBOvgi-o6A_3668_aug,[4032],[3024],['no-stopping-no-parking'],[1557.3644],[947.59845],[1780.9803],[1311.9977]
48,-BlWD5yiCO2Yi9BLQsRkkg,"[1920, 1920]","[1080, 1080]","['no-entry', 'no-right-left-or-u-turn']","[170.625, 550.78125]","[723.515625, 770.185546875]","[205.3125, 577.96875]","[784.423828125, 799.453125]"
49,-BlWD5yiCO2Yi9BLQsRkkg_1317_aug,[1920],[1080],['no-right-left-or-u-turn'],[978.231],[865.96533],[1004.7861],[899.0209]
50,-BlWD5yiCO2Yi9BLQsRkkg_150_aug,[1920],[1080],['no-right-left-or-u-turn'],[915.8896],[614.60944],[943.3455],[648.3736]
51,-BlWD5yiCO2Yi9BLQsRkkg_1632_aug,[1920],[1080],['no-entry'],[1675.8875],[510.13245],[1716.4558],[572.3405]
52,-BlWD5yiCO2Yi9BLQsRkkg_191_aug,[1920],[1080],['no-entry'],[1875.2246],[1035.7775],[1924.218],[1101.5029]
53,-BlWD5yiCO2Yi9BLQsRkkg_2484_aug,[1920],[1080],['no-right-left-or-u-turn'],[370.91046],[566.86176],[406.82327],[601.96564]
54,-BlWD5yiCO2Yi9BLQsRkkg_3651_aug,[1920],[1080],['no-right-left-or-u-turn'],[1032.8137],[696.922],[1063.1888],[722.8924]
55,-BygkkVj5oNMgS1viuEvpQ,"[4032, 4032]","[3024, 3024]","['no-right-left-or-u-turn', 'no-right-left-or-u-turn']","[2391.046875, 1312.171875]","[1545.22265625, 1610.19140625]","[2457.984375, 1374.1875]","[1611.66796875, 1669.25390625]"
56,-BygkkVj5oNMgS1viuEvpQ_151_aug,[4032],[3024],['no-right-left-or-u-turn'],[1120.197],[1887.0029],[1208.2985],[1966.538]
57,-BygkkVj5oNMgS1viuEvpQ_152_aug,[4032],[3024],['no-right-left-or-u-turn'],[948.9073],[1179.731],[1023.22174],[1244.4115]
58,-BygkkVj5oNMgS1viuEvpQ_2486_aug,[4032],[3024],['no-right-left-or-u-turn'],[985.87726],[1167.6633],[1065.7521],[1246.3348]
59,-BygkkVj5oNMgS1viuEvpQ_3652_aug,[4032],[3024],['no-right-left-or-u-turn'],[1912.2759],[1171.1425],[1980.1102],[1257.4364]
60,-BygkkVj5oNMgS1viuEvpQ_3653_aug,[4032],[3024],['no-right-left-or-u-turn'],[1927.9318],[1016.7575],[1982.1292],[1080.4686]
61,-Cc-M6XGO-jIka91DUZZUA,"[4032, 4032, 4032]","[3024, 3024, 3024]","['speed-limit', 'speed-limit', 'speed-limit']","[1942.171875, 1787.625, 1864.40625]","[1046.8828125, 1057.21875, 1052.7890625]","[2013.046875, 1855.546875, 1933.3125]","[1118.49609375, 1125.87890625, 1125.140625]"
62,-DKcxCLAzqQ5yCdj-HkkPw,"[4160, 4160]","[3120, 3120]","['other', 'other']","[1932.734375, 1416.796875]","[1486.11328125, 879.0234375]","[1969.296875, 1563.046875]","[1523.4375, 1033.65234375]"
63,-DKcxCLAzqQ5yCdj-HkkPw_1476_aug,[4160],[3120],['other'],[2656.0688],[1719.3873],[2688.2268],[1758.428]
64,-DKcxCLAzqQ5yCdj-HkkPw_1477_aug,[4160],[3120],['other'],[3424.7966],[384.19348],[3592.2969],[562.55536]
65,-DKcxCLAzqQ5yCdj-HkkPw_178_aug,[4160],[3120],['other'],[2277.1907],[1242.0507],[2310.5127],[1284.1011]
66,-DKcxCLAzqQ5yCdj-HkkPw_179_aug,[4160],[3120],['other'],[1198.8792],[742.8037],[1345.1649],[885.74603]
67,-DKcxCLAzqQ5yCdj-HkkPw_2774_aug,[4160],[3120],['other'],[1803.7015],[1841.15],[1842.5864],[1883.5118]
68,-DKcxCLAzqQ5yCdj-HkkPw_2775_aug,[4160],[3120],['other'],[2433.013],[463.94977],[2622.6545],[676.1139]
69,-E0pRusIqLhaIkjlZQGXNg,"[4160, 4160]","[3120, 3120]","['speed-limit', 'other']","[1206.5625, 1202.5]","[1627.03125, 1470.1171875]","[1311.171875, 1314.21875]","[1778.61328125, 1611.03515625]"
70,-E0pRusIqLhaIkjlZQGXNg_187_aug,[4160],[3120],['other'],[788.6519],[1131.8165],[921.6866],[1271.2283]
71,-E0pRusIqLhaIkjlZQGXNg_2783_aug,[4160],[3120],['other'],[2666.5781],[1698.6191],[2792.779],[1844.4448]
72,-ERU5nErUqQn3JZ6sSGofA,[5312],[2988],['speed-limit'],[2084.078125],[1121.2294921875],[2142.4375],[1184.6953125]
73,-FVezPAoTCWLJri7RybKaw,"[3840, 3840]","[2160, 2160]","['other', 'other']","[3041.25, 3028.125]","[1316.25, 1411.69921875]","[3108.75, 3093.75]","[1408.53515625, 1499.765625]"
74,-Gcl9blTgnaiNhpFyBYdJA,[2592],[1944],['no-entry'],[127.1953125],[908.40234375],[175.2890625],[965.830078125]
75,-Gcl9blTgnaiNhpFyBYdJA_1633_aug,[2592],[1944],['no-entry'],[2211.833],[450.79163],[2265.323],[507.1702]
76,-Gcl9blTgnaiNhpFyBYdJA_192_aug,[2592],[1944],['no-entry'],[610.7182],[912.8821],[667.0241],[973.99475]
77,-Gcl9blTgnaiNhpFyBYdJA_3074_aug,[2592],[1944],['no-entry'],[297.9543],[1024.7408],[361.09018],[1097.4523]
78,-GxYFOCn-Xfnljtk30lpIA,[3984],[2988],['no-entry'],[452.28515625],[1529.7451171875],[463.95703125],[1581.5390625]
79,-GxYFOCn-Xfnljtk30lpIA_1637_aug,[3984],[2988],['no-entry'],[3179.4717],[1697.0117],[3200.1348],[1758.7905]
80,-GxYFOCn-Xfnljtk30lpIA_196_aug,[3984],[2988],['no-entry'],[925.94415],[2340.6619],[954.7392],[2399.7844]
81,-GxYFOCn-Xfnljtk30lpIA_3078_aug,[3984],[2988],['no-entry'],[16.925507],[1251.5875],[34.81787],[1297.7174]
82,-HFT-WGo9ftuyGUUm-4zGQ,[4128],[3096],['no-entry'],[1837.2421875],[1848.83203125],[1853.3671875],[1866.97265625]
83,-HxiZJdhRazJDPQ_KpyEdQ,"[4032, 4032, 4032]","[3024, 3024, 3024]","['no-stopping-no-parking', 'no-stopping-no-parking', 'no-stopping-no-parking']","[1909.6875, 2670.609375, 3718.96875]","[1999.265625, 1034.33203125, 1697.30859375]","[1941.1875, 2837.953125, 3736.6875]","[2031.01171875, 1198.23046875, 1717.98046875]"
84,-IB3xu-xSE6GHfkM7oG1pQ,"[3264, 3264]","[2448, 2448]","['speed-limit', 'speed-limit']","[1833.609375, 1485.375]","[1674.6328125, 1683.59765625]","[1855.921875, 1507.6875]","[1696.74609375, 1706.90625]"
85,-IWgL4VctdaKvIuZ7Cys0w,[4352],[3264],['speed-limit'],[1378.0625],[1309.265625],[1521.5],[1443.9375]
86,-IcyhR2u8DJ4qoqXWNrZ1g,"[4032, 4032]","[3024, 3024]","['no-stopping-no-parking', 'no-stopping-no-parking']","[1422.421875, 3132.28125]","[1333.3359375, 1173.8671875]","[1492.3125, 3264.1875]","[1417.5, 1302.328125]"
87,-K0VdlQhaTTesOHVB_1Lzw,[5660],[2830],['other'],[229.384765625],[1453.69140625],[266.6943359375],[1491.0009765625]
88,-K0VdlQhaTTesOHVB_1Lzw_1486_aug,[5660],[2830],['other'],[5468.3354],[1842.4954],[5513.036],[1878.929]
89,-K0VdlQhaTTesOHVB_1Lzw_188_aug,[5660],[2830],['other'],[-373.20633],[851.61884],[-339.631],[897.2458]
90,-K0VdlQhaTTesOHVB_1Lzw_2784_aug,[5660],[2830],['other'],[105.16598],[1885.931],[145.12807],[1929.3575]
91,-KsJhQA4RkIB3FPp_IStgw,"[4032, 4032, 4032]","[3024, 3024, 3024]","['speed-limit', 'speed-limit', 'speed-limit']","[1821.09375, 1207.828125, 1908.703125]","[1917.31640625, 2056.11328125, 1963.828125]","[1897.875, 1228.5, 1991.390625]","[1997.05078125, 2087.12109375, 2046.515625]"
92,-LQAjPpM4ZlWbR_GiEo-5Q,[4000],[3000],['no-right-left-or-u-turn'],[2572.265625],[1636.962890625],[2602.5390625],[1668.45703125]
93,-LQAjPpM4ZlWbR_GiEo-5Q_1330_aug,[4000],[3000],['no-right-left-or-u-turn'],[2740.2905],[1581.5203],[2766.0776],[1616.3003]
94,-LQAjPpM4ZlWbR_GiEo-5Q_163_aug,[4000],[3000],['no-right-left-or-u-turn'],[1300.1833],[1962.905],[1337.07],[2001.1093]
95,-LQAjPpM4ZlWbR_GiEo-5Q_2497_aug,[4000],[3000],['no-right-left-or-u-turn'],[1318.53],[1494.4457],[1351.4897],[1528.1139]
96,-LQAjPpM4ZlWbR_GiEo-5Q_3664_aug,[4000],[3000],['no-right-left-or-u-turn'],[2568.2224],[1252.8245],[2600.3384],[1283.3108]
97,-LQXWLyVw_nMfog6Sya92w,[2560],[1440],['speed-limit'],[1917.5],[774.140625],[2000.0],[852.1875]
98,-Lnqtnmhg5a0Geqyn4m_gQ,[4208],[3120],['speed-limit'],[1101.3125],[1643.02734375],[1187.609375],[1726.81640625]
99,-MGHrk6ifhEZhWCjotCb4A,[3840],[2160],['speed-limit'],[969.375],[1115.33203125],[1012.5],[1156.46484375]
100,-MlU-jgd1aUWgzCSIEi1Yg,"[3264, 3264, 3264]","[2448, 2448, 2448]","['speed-limit', 'no-entry', 'no-entry']","[1808.90625, 313.96875, 1058.25]","[1225.79296875, 1258.6640625, 1281.97265625]","[1844.765625, 447.046875, 1113.234375]","[1262.84765625, 1461.8671875, 1408.67578125]"
101,-MlU-jgd1aUWgzCSIEi1Yg_1640_aug,[3264],[2448],['no-entry'],[687.6011],[1238.6812],[858.64],[1426.4164]
102,-MlU-jgd1aUWgzCSIEi1Yg_1641_aug,[3264],[2448],['no-entry'],[729.4257],[1656.8997],[805.5225],[1793.5]
103,-MlU-jgd1aUWgzCSIEi1Yg_199_aug,[3264],[2448],['no-entry'],[692.06335],[1799.0707],[849.97217],[1973.4142]
104,-MlU-jgd1aUWgzCSIEi1Yg_3081_aug,[3264],[2448],['no-entry'],[324.54153],[1463.0128],[530.66425],[1720.785]
105,-MlU-jgd1aUWgzCSIEi1Yg_3082_aug,[3264],[2448],['no-entry'],[907.6354],[1182.422],[967.77893],[1301.8401]
106,-NDdpaJqS5GOM-CBrnwifg,"[4128, 4128]","[3096, 3096]","['no-right-left-or-u-turn', 'no-entry']","[1872.515625, 1164.0234375]","[2383.224609375, 2493.580078125]","[1915.8515625, 1200.3046875]","[2432.35546875, 2537.419921875]"
107,-NRs2TX8kBnmjWDeqs7o_A,[2560],[1536],['other'],[2321.875],[438.375],[2377.5],[504.375]
108,-NRs2TX8kBnmjWDeqs7o_A_1480_aug,[2560],[1536],['other'],[2831.1396],[675.5365],[2900.1743],[753.41644]
109,-NRs2TX8kBnmjWDeqs7o_A_182_aug,[2560],[1536],['other'],[267.114],[649.9267],[333.81876],[716.8437]
110,-NRs2TX8kBnmjWDeqs7o_A_2778_aug,[2560],[1536],['other'],[2055.3843],[357.01233],[2104.9094],[430.46835]
111,-NaZlwuVvELCGEN3IOa08Q,[2560],[1920],['speed-limit'],[1551.875],[720.46875],[1632.5],[808.125]
112,-Nhm4jgJU6RRgYrQVYFebQ,[4032],[3024],['speed-limit'],[2238.46875],[1486.16015625],[2262.09375],[1509.78515625]
113,-P1z3gM5DlaNUCdPEjgQ8w,[1920],[1080],['no-right-left-or-u-turn'],[742.03125],[465.64453125],[787.03125],[510.205078125]
114,-PG83VlQAKdsDJ_f9hmaAQ,"[5952, 5952]","[3348, 3348]","['no-stopping-no-parking', 'no-stopping-no-parking']","[3744.703125, 3741.796875]","[1605.33984375, 1656.8349609375]","[3789.75, 3791.203125]","[1658.4697265625, 1707.5126953125]"
115,-PKOyjdKoA5R_MAMl1ptOg,"[3840, 3840]","[1920, 1920]","['no-right-left-or-u-turn', 'no-right-left-or-u-turn']","[2837.8125, 1347.1875]","[787.03125, 943.125]","[2908.125, 1365.0]","[862.03125, 962.8125]"
116,-PKOyjdKoA5R_MAMl1ptOg_1333_aug,[3840],[1920],['no-right-left-or-u-turn'],[1448.65],[624.2383],[1515.2421],[702.2472]
117,-PKOyjdKoA5R_MAMl1ptOg_1334_aug,[3840],[1920],['no-right-left-or-u-turn'],[1587.3188],[1051.843],[1606.9335],[1070.3912]
