,name,width,height,class,xmin,ymin,xmax,ymax
0,--7fWq6WjZM8L1eUSuvOEA_1475_aug,[4160],[3120],['other'],[1334.4553],[1302.4825],[1427.845],[1382.0487]
1,--7fWq6WjZM8L1eUSuvOEA_177_aug,[4160],[3120],['other'],[2215.9211],[1044.2795],[2330.0889],[1149.7699]
2,-0oqTZyDwf6SJlJXaHSTVg_1629_aug,[3840],[2160],['no-entry'],[2139.9058],[1223.2003],[2177.4243],[1287.4585]
3,-0oqTZyDwf6SJlJXaHSTVg_188_aug,[3840],[2160],['no-entry'],[2296.827],[1140.9955],[2335.2373],[1206.1879]
4,-0oqTZyDwf6SJlJXaHSTVg_3070_aug,[3840],[2160],['no-entry'],[1914.1493],[701.4032],[1965.5436],[756.0759]
5,-1dYvHaY52PTrihdjPDPQg_1943_aug,[5248],[3936],['no-stopping-no-parking'],[3132.4558],[2691.229],[3340.5017],[2925.8662]
6,-1dYvHaY52PTrihdjPDPQg_220_aug,[5248],[3936],['no-stopping-no-parking'],[1543.4232],[3004.9534],[1738.1609],[3286.437]
7,-1dYvHaY52PTrihdjPDPQg_221_aug,[5248],[3936],['no-stopping-no-parking'],[448.01382],[2102.2356],[724.4729],[2466.2834]
8,-1dYvHaY52PTrihdjPDPQg_3666_aug,[5248],[3936],['no-stopping-no-parking'],[2489.4536],[1524.1542],[2715.3982],[1734.1226]
9,-1dYvHaY52PTrihdjPDPQg_3667_aug,[5248],[3936],['no-stopping-no-parking'],[5296.4688],[1405.1182],[5505.9126],[1794.819]
10,-3vUvRIrj_BvNn9mBS9gHg_3071_aug,[4096],[3072],['no-entry'],[2031.1019],[1746.8405],[2055.0754],[1800.9675]
11,-7UY6VoU92Vw2K170kXwSw_3072_aug,[5312],[2988],['no-entry'],[1227.5801],[1574.973],[1298.7126],[1636.7462]
12,-7njPpiHROkOjrBeSzNiow_1316_aug,[4128],[3096],['no-right-left-or-u-turn'],[2116.7097],[1627.0182],[2146.2122],[1662.6179]
13,-7njPpiHROkOjrBeSzNiow_149_aug,[4128],[3096],['no-right-left-or-u-turn'],[2163.2395],[1495.3469],[2195.046],[1531.1443]
14,-7njPpiHROkOjrBeSzNiow_2483_aug,[4128],[3096],['no-right-left-or-u-turn'],[2832.1016],[1828.4788],[2862.7722],[1858.6687]
15,-7njPpiHROkOjrBeSzNiow_3650_aug,[4128],[3096],['no-right-left-or-u-turn'],[1161.0167],[2363.314],[1189.1582],[2394.6743]
16,-90LVyAGTR2pzUEmy8NY5w_0_aug,[3264],[1836],['no-right-left-or-u-turn'],[697.253],[413.0561],[819.7667],[518.50714]
17,-90LVyAGTR2pzUEmy8NY5w_2334_aug,[3264],[1836],['no-right-left-or-u-turn'],[1864.6624],[567.9297],[1993.6173],[684.58307]
18,-90LVyAGTR2pzUEmy8NY5w_3501_aug,[3264],[1836],['no-right-left-or-u-turn'],[1735.9509],[442.6029],[1848.9656],[578.6944]
19,-B0k5-dkhan6sBOvgi-o6A_1945_aug,[4032],[3024],['no-stopping-no-parking'],[2018.8588],[1111.0779],[2295.1519],[1492.7804]
20,-B0k5-dkhan6sBOvgi-o6A_222_aug,[4032],[3024],['no-stopping-no-parking'],[1808.7589],[1493.9395],[2049.5117],[1818.154]
21,-B0k5-dkhan6sBOvgi-o6A_3668_aug,[4032],[3024],['no-stopping-no-parking'],[1557.3644],[947.59845],[1780.9803],[1311.9977]
22,-BlWD5yiCO2Yi9BLQsRkkg_1317_aug,[1920],[1080],['no-right-left-or-u-turn'],[978.231],[865.96533],[1004.7861],[899.0209]
23,-BlWD5yiCO2Yi9BLQsRkkg_150_aug,[1920],[1080],['no-right-left-or-u-turn'],[915.8896],[614.60944],[943.3455],[648.3736]
24,-BlWD5yiCO2Yi9BLQsRkkg_1632_aug,[1920],[1080],['no-entry'],[1675.8875],[510.13245],[1716.4558],[572.3405]
25,-BlWD5yiCO2Yi9BLQsRkkg_191_aug,[1920],[1080],['no-entry'],[1875.2246],[1035.7775],[1924.218],[1101.5029]
26,-BlWD5yiCO2Yi9BLQsRkkg_2484_aug,[1920],[1080],['no-right-left-or-u-turn'],[370.91046],[566.86176],[406.82327],[601.96564]
27,-BlWD5yiCO2Yi9BLQsRkkg_3651_aug,[1920],[1080],['no-right-left-or-u-turn'],[1032.8137],[696.922],[1063.1888],[722.8924]
28,-BygkkVj5oNMgS1viuEvpQ_151_aug,[4032],[3024],['no-right-left-or-u-turn'],[1120.197],[1887.0029],[1208.2985],[1966.538]
29,-BygkkVj5oNMgS1viuEvpQ_152_aug,[4032],[3024],['no-right-left-or-u-turn'],[948.9073],[1179.731],[1023.22174],[1244.4115]
30,-BygkkVj5oNMgS1viuEvpQ_2486_aug,[4032],[3024],['no-right-left-or-u-turn'],[985.87726],[1167.6633],[1065.7521],[1246.3348]
31,-BygkkVj5oNMgS1viuEvpQ_3652_aug,[4032],[3024],['no-right-left-or-u-turn'],[1912.2759],[1171.1425],[1980.1102],[1257.4364]
32,-BygkkVj5oNMgS1viuEvpQ_3653_aug,[4032],[3024],['no-right-left-or-u-turn'],[1927.9318],[1016.7575],[1982.1292],[1080.4686]
33,-DKcxCLAzqQ5yCdj-HkkPw_1476_aug,[4160],[3120],['other'],[2656.0688],[1719.3873],[2688.2268],[1758.428]
34,-DKcxCLAzqQ5yCdj-HkkPw_1477_aug,[4160],[3120],['other'],[3424.7966],[384.19348],[3592.2969],[562.55536]
35,-DKcxCLAzqQ5yCdj-HkkPw_178_aug,[4160],[3120],['other'],[2277.1907],[1242.0507],[2310.5127],[1284.1011]
36,-DKcxCLAzqQ5yCdj-HkkPw_179_aug,[4160],[3120],['other'],[1198.8792],[742.8037],[1345.1649],[885.74603]
37,-DKcxCLAzqQ5yCdj-HkkPw_2774_aug,[4160],[3120],['other'],[1803.7015],[1841.15],[1842.5864],[1883.5118]
38,-DKcxCLAzqQ5yCdj-HkkPw_2775_aug,[4160],[3120],['other'],[2433.013],[463.94977],[2622.6545],[676.1139]
39,-E0pRusIqLhaIkjlZQGXNg_187_aug,[4160],[3120],['other'],[788.6519],[1131.8165],[921.6866],[1271.2283]
40,-E0pRusIqLhaIkjlZQGXNg_2783_aug,[4160],[3120],['other'],[2666.5781],[1698.6191],[2792.779],[1844.4448]
41,-Gcl9blTgnaiNhpFyBYdJA_1633_aug,[2592],[1944],['no-entry'],[2211.833],[450.79163],[2265.323],[507.1702]
42,-Gcl9blTgnaiNhpFyBYdJA_192_aug,[2592],[1944],['no-entry'],[610.7182],[912.8821],[667.0241],[973.99475]
43,-Gcl9blTgnaiNhpFyBYdJA_3074_aug,[2592],[1944],['no-entry'],[297.9543],[1024.7408],[361.09018],[1097.4523]
44,-GxYFOCn-Xfnljtk30lpIA_1637_aug,[3984],[2988],['no-entry'],[3179.4717],[1697.0117],[3200.1348],[1758.7905]
45,-GxYFOCn-Xfnljtk30lpIA_196_aug,[3984],[2988],['no-entry'],[925.94415],[2340.6619],[954.7392],[2399.7844]
46,-GxYFOCn-Xfnljtk30lpIA_3078_aug,[3984],[2988],['no-entry'],[16.925507],[1251.5875],[34.81787],[1297.7174]
47,-K0VdlQhaTTesOHVB_1Lzw_1486_aug,[5660],[2830],['other'],[5468.3354],[1842.4954],[5513.036],[1878.929]
48,-K0VdlQhaTTesOHVB_1Lzw_188_aug,[5660],[2830],['other'],[-373.20633],[851.61884],[-339.631],[897.2458]
49,-K0VdlQhaTTesOHVB_1Lzw_2784_aug,[5660],[2830],['other'],[105.16598],[1885.931],[145.12807],[1929.3575]
50,-LQAjPpM4ZlWbR_GiEo-5Q_1330_aug,[4000],[3000],['no-right-left-or-u-turn'],[2740.2905],[1581.5203],[2766.0776],[1616.3003]
51,-LQAjPpM4ZlWbR_GiEo-5Q_163_aug,[4000],[3000],['no-right-left-or-u-turn'],[1300.1833],[1962.905],[1337.07],[2001.1093]
52,-LQAjPpM4ZlWbR_GiEo-5Q_2497_aug,[4000],[3000],['no-right-left-or-u-turn'],[1318.53],[1494.4457],[1351.4897],[1528.1139]
53,-LQAjPpM4ZlWbR_GiEo-5Q_3664_aug,[4000],[3000],['no-right-left-or-u-turn'],[2568.2224],[1252.8245],[2600.3384],[1283.3108]
54,-MlU-jgd1aUWgzCSIEi1Yg_1640_aug,[3264],[2448],['no-entry'],[687.6011],[1238.6812],[858.64],[1426.4164]
55,-MlU-jgd1aUWgzCSIEi1Yg_1641_aug,[3264],[2448],['no-entry'],[729.4257],[1656.8997],[805.5225],[1793.5]
56,-MlU-jgd1aUWgzCSIEi1Yg_199_aug,[3264],[2448],['no-entry'],[692.06335],[1799.0707],[849.97217],[1973.4142]
57,-MlU-jgd1aUWgzCSIEi1Yg_3081_aug,[3264],[2448],['no-entry'],[324.54153],[1463.0128],[530.66425],[1720.785]
58,-MlU-jgd1aUWgzCSIEi1Yg_3082_aug,[3264],[2448],['no-entry'],[907.6354],[1182.422],[967.77893],[1301.8401]
59,-NRs2TX8kBnmjWDeqs7o_A_1480_aug,[2560],[1536],['other'],[2831.1396],[675.5365],[2900.1743],[753.41644]
60,-NRs2TX8kBnmjWDeqs7o_A_182_aug,[2560],[1536],['other'],[267.114],[649.9267],[333.81876],[716.8437]
61,-NRs2TX8kBnmjWDeqs7o_A_2778_aug,[2560],[1536],['other'],[2055.3843],[357.01233],[2104.9094],[430.46835]
62,-PKOyjdKoA5R_MAMl1ptOg_1333_aug,[3840],[1920],['no-right-left-or-u-turn'],[1448.65],[624.2383],[1515.2421],[702.2472]
63,-PKOyjdKoA5R_MAMl1ptOg_1334_aug,[3840],[1920],['no-right-left-or-u-turn'],[1587.3188],[1051.843],[1606.9335],[1070.3912]
64,-PKOyjdKoA5R_MAMl1ptOg_166_aug,[3840],[1920],['no-right-left-or-u-turn'],[640.1223],[952.1287],[732.92163],[1028.2798]
65,-PKOyjdKoA5R_MAMl1ptOg_167_aug,[3840],[1920],['no-right-left-or-u-turn'],[2836.0776],[605.57263],[2852.2139],[622.80585]
66,-PKOyjdKoA5R_MAMl1ptOg_2500_aug,[3840],[1920],['no-right-left-or-u-turn'],[364.33002],[591.6946],[450.3701],[676.29004]
67,-PKOyjdKoA5R_MAMl1ptOg_2501_aug,[3840],[1920],['no-right-left-or-u-turn'],[1215.8016],[659.84546],[1235.8077],[679.4681]
68,-PKOyjdKoA5R_MAMl1ptOg_3667_aug,[3840],[1920],['no-right-left-or-u-turn'],[2427.12],[1125.007],[2499.3906],[1206.5616]
69,-PKOyjdKoA5R_MAMl1ptOg_3668_aug,[3840],[1920],['no-right-left-or-u-turn'],[1888.6906],[895.9879],[1904.7845],[916.0474]
70,-RLOns23d2Ca7nv74pQ-jw_1957_aug,[3264],[1836],['no-stopping-no-parking'],[2434.781],[694.8275],[2528.2383],[768.74805]
71,-RLOns23d2Ca7nv74pQ-jw_234_aug,[3264],[1836],['no-stopping-no-parking'],[134.80042],[667.08606],[250.81096],[775.92773]
72,-RLOns23d2Ca7nv74pQ-jw_3680_aug,[3264],[1836],['no-stopping-no-parking'],[1279.3268],[948.39777],[1367.5211],[1036.7114]
73,-TH7w8sR0zwOQNPDHSK72w_1644_aug,[7776],[3888],['no-entry'],[6264.959],[3161.2246],[6367.2935],[3303.7522]
74,-TH7w8sR0zwOQNPDHSK72w_1645_aug,[7776],[3888],['no-entry'],[4107.0034],[2144.505],[4163.323],[2199.496]
75,-TH7w8sR0zwOQNPDHSK72w_203_aug,[7776],[3888],['no-entry'],[2134.9016],[1802.4801],[2270.4111],[1925.114]
76,-TH7w8sR0zwOQNPDHSK72w_204_aug,[7776],[3888],['no-entry'],[5727.0654],[1922.7573],[5794.511],[1982.4493]
77,-TH7w8sR0zwOQNPDHSK72w_3085_aug,[7776],[3888],['no-entry'],[2220.4775],[748.4578],[2356.573],[858.0177]
78,-TH7w8sR0zwOQNPDHSK72w_3086_aug,[7776],[3888],['no-entry'],[5386.503],[1705.4692],[5445.4414],[1775.3265]
79,-USJxUPQMMgHpITpzK0Ptg_1956_aug,[3968],[2976],['no-stopping-no-parking'],[2673.4746],[662.85785],[2711.1938],[753.2964]
80,-USJxUPQMMgHpITpzK0Ptg_233_aug,[3968],[2976],['no-stopping-no-parking'],[1299.4916],[1678.667],[1365.2515],[1768.0466]
81,-USJxUPQMMgHpITpzK0Ptg_3679_aug,[3968],[2976],['no-stopping-no-parking'],[1837.406],[981.0779],[1886.5979],[1058.0027]
82,-Uu9SyEFABUp3SjRoUAVrQ_1327_aug,[4000],[3000],['no-right-left-or-u-turn'],[1952.7244],[1052.6277],[2057.541],[1156.9441]
83,-Uu9SyEFABUp3SjRoUAVrQ_2494_aug,[4000],[3000],['no-right-left-or-u-turn'],[1918.9717],[1119.9415],[1992.2253],[1211.5073]
84,-Uu9SyEFABUp3SjRoUAVrQ_3661_aug,[4000],[3000],['no-right-left-or-u-turn'],[1516.9185],[1731.7902],[1615.8126],[1842.1854]
85,-X7XPBP65Hzq6u-VZvhktQ_1048_aug,[4624],[3488],['road-closed'],[1639.2385],[1932.699],[1669.439],[1968.5823]
86,-X7XPBP65Hzq6u-VZvhktQ_1252_aug,[4624],[3488],['road-closed'],[4091.896],[1686.5223],[4122.7705],[1729.9567]
87,-X7XPBP65Hzq6u-VZvhktQ_1456_aug,[4624],[3488],['road-closed'],[3146.4324],[1703.468],[3172.0159],[1738.1445]
88,-X7XPBP65Hzq6u-VZvhktQ_1660_aug,[4624],[3488],['road-closed'],[1008.2878],[2233.5396],[1043.644],[2281.1436]
89,-X7XPBP65Hzq6u-VZvhktQ_1864_aug,[4624],[3488],['road-closed'],[2716.0586],[1329.9735],[2748.3408],[1375.4955]
90,-X7XPBP65Hzq6u-VZvhktQ_2272_aug,[4624],[3488],['road-closed'],[3930.7344],[1601.4216],[3956.3657],[1643.5519]
91,-X7XPBP65Hzq6u-VZvhktQ_232_aug,[4624],[3488],['road-closed'],[506.4648],[1666.1841],[533.2212],[1704.1649]
92,-X7XPBP65Hzq6u-VZvhktQ_2476_aug,[4624],[3488],['road-closed'],[4288.6597],[2010.6222],[4318.9707],[2045.164]
93,-X7XPBP65Hzq6u-VZvhktQ_2680_aug,[4624],[3488],['road-closed'],[1294.1416],[699.7523],[1329.1486],[734.1915]
94,-X7XPBP65Hzq6u-VZvhktQ_2884_aug,[4624],[3488],['road-closed'],[4410.417],[2139.8926],[4446.032],[2187.7388]
95,-X7XPBP65Hzq6u-VZvhktQ_28_aug,[4624],[3488],['road-closed'],[493.3371],[1315.0961],[526.7838],[1354.4523]
96,-X7XPBP65Hzq6u-VZvhktQ_3088_aug,[4624],[3488],['road-closed'],[2516.307],[1643.5385],[2541.609],[1690.7933]
97,-X7XPBP65Hzq6u-VZvhktQ_3292_aug,[4624],[3488],['road-closed'],[3651.3972],[1671.9546],[3685.743],[1706.7556]
98,-X7XPBP65Hzq6u-VZvhktQ_3496_aug,[4624],[3488],['road-closed'],[2856.8596],[702.5855],[2885.344],[747.6363]
99,-X7XPBP65Hzq6u-VZvhktQ_3700_aug,[4624],[3488],['road-closed'],[1069.3708],[861.9442],[1099.6471],[894.3607]
100,-X7XPBP65Hzq6u-VZvhktQ_436_aug,[4624],[3488],['road-closed'],[1356.6843],[979.36646],[1393.4469],[1027.8195]
101,-X7XPBP65Hzq6u-VZvhktQ_640_aug,[4624],[3488],['road-closed'],[3469.3413],[1842.1887],[3497.9685],[1885.2366]
102,-X7XPBP65Hzq6u-VZvhktQ_844_aug,[4624],[3488],['road-closed'],[1334.0696],[1257.8917],[1362.4751],[1296.908]
103,-XHAUmZZZbxqXu5Sg83XEg_1337_aug,[1280],[720],['no-right-left-or-u-turn'],[657.07294],[512.60406],[671.8136],[530.11945]
104,-XHAUmZZZbxqXu5Sg83XEg_170_aug,[1280],[720],['no-right-left-or-u-turn'],[444.59848],[454.24878],[463.0361],[469.74997]
105,-XHAUmZZZbxqXu5Sg83XEg_3671_aug,[1280],[720],['no-right-left-or-u-turn'],[679.28687],[637.10095],[692.53955],[653.68066]
106,-Xj_gTKAm67tlUUcuT_ruQ_1487_aug,[3264],[2448],['other'],[2370.1023],[208.11375],[2568.0156],[371.53305]
107,-Xj_gTKAm67tlUUcuT_ruQ_2785_aug,[3264],[2448],['other'],[1524.3945],[248.94727],[1722.8895],[463.18762]
108,-Xj_gTKAm67tlUUcuT_ruQ_3682_aug,[3264],[2448],['no-stopping-no-parking'],[1917.4346],[1181.8163],[2191.7773],[1438.6509]
109,-XokD1NspXZcoBgVcDP4Hw_1650_aug,[4032],[3024],['no-entry'],[678.10266],[1080.7445],[693.2666],[1096.63]
110,-XokD1NspXZcoBgVcDP4Hw_209_aug,[4032],[3024],['no-entry'],[2639.9211],[1671.6477],[2653.4038],[1687.3463]
